freq,unit,isced11,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_PER,ED0-4,HR	13.2 u	14.7 bu	16.7 bu	20.2 e	21.6 e	20.5 e	16.5 be	17.9 be	19.0 e	18.2 e	16.3 be	18.5 e	24.9 e	24.4 e	23.3 e	22.9 e	26.7 e	23.2 be	22.1 e
A,THS_PER,ED0-4,HU	113.2 e	107.1 be	105.4 e	104.5 e	106.0 e	94.7 e	96.3 e	45.8 be	53.2 e	56.4 e	51.5 be	52.1 e	54.7 e	57.4 	59.1 e	56.2 e	59.4 e	54.7 be	64.4 e
A,THS_PER,ED0-4,IE	24.6 e	24.7 be	23.0 e	24.0 be	23.0 e	21.6 e	20.2 e	19.1 be	17.1 e	16.2 e	18.5 be	17.9 e	18.2 e	17.7 be	18.5 e	20.9 e	21.5 e	26.8 be	27.2 e
A,THS_PER,ED0-4,IS	: 	: 	: 	: 	: 	: 	: 	2.8 be	2.8 e	3.2 e	3.1 be	3.9 e	3.5 e	3.6 e	3.7 e	2.9 e	3.0 be	2.6 be	2.7 e
A,THS_PER,ED0-4,IT	519.9 be	511.9 be	527.7 e	521.0 e	528.7 e	544.1 e	526.1 e	486.6 be	502.9 e	490.5 e	483.8 be	477.9 e	502.0 e	500.0 e	534.4 e	515.6 e	500.8 e	498.9 be	542.9 e
A,THS_PER,ED0-4,LT	9.6 u	9.6 bu	10.3 u	10.4 u	10.3 u	7.9 u	5.1 u	6.0 bu	5.6 u	5.9 e	5.5 be	5.7 e	6.9 e	6.3 e	6.9 e	7.0 e	6.6 e	8.3 be	13.2 e
A,THS_PER,ED0-4,LU	3.4 e	3.2 be	3.3 e	3.5 be	4.1 e	3.7 be	3.3 e	3.4 be	3.4 e	3.5 e	3.5 be	3.3 be	3.1 e	3.3 e	4.6 e	3.7 e	4.3 e	4.8 be	5.4 e
A,THS_PER,ED0-4,LV	16.9 e	18.9 be	18.9 e	16.6 e	16.3 e	12.8 e	11.6 e	8.7 be	7.7 e	8.7 e	9.9 be	9.4 e	7.6 e	8.5 e	9.1 e	10.8 e	10.9 e	11.3 be	14.3 e
A,THS_PER,ED0-4,ME	: 	: 	: 	: 	: 	: 	: 	1.5 bu	1.4 u	1.4 u	1.9 bu	1.8 u	1.9 e	2.1 e	1.6 u	1.3 u	2.3 e	: 	: 
A,THS_PER,ED0-4,MK	: 	: 	: 	: 	: 	: 	: 	4.5 be	4.4 e	4.9 e	4.9 be	5.2 e	5.2 e	4.5 e	4.0 e	5.8 e	7.6 e	: 	: 
