freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,1-4,C10-S951_X_K,E_DI_HI,PC_ENT,SE	: 	0 b	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,E_DI_HI,PC_ENT,SK	7.3 	6.9 b	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,E_DI_LO,PC_ENT,SE	: 	13.4 b	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,E_DI_LO,PC_ENT,SK	37.0 	30.4 b	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,E_DI_VHI,PC_ENT,SE	: 	0 b	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,E_DI_VHI,PC_ENT,SK	0.3 	0.4 b	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,E_DI_VLO,PC_ENT,SE	: 	86.6 b	: 	: 	: 	: 	: 	: 	: 
A,1-4,C10-S951_X_K,E_DI_VLO,PC_ENT,SK	55.3 	62.3 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_HI,PC_ENT,ES	3.1 	4.5 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_HI,PC_ENT,PT	6.3 	10.3 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_HI,PC_ENT,SE	: 	0 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_HI,PC_ENT,SK	8.4 	7.6 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_HI,PC_ENT,UK	6.2 	9.5 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_LO,PC_ENT,ES	13.0 	16.5 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_LO,PC_ENT,PT	20.7 	24.9 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_LO,PC_ENT,SE	: 	14.6 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_LO,PC_ENT,SK	37.7 	32.9 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_LO,PC_ENT,UK	28.6 	30.3 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VHI,PC_ENT,ES	0.2 	0.3 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VHI,PC_ENT,PT	0.7 	0.9 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VHI,PC_ENT,SE	: 	0 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VHI,PC_ENT,SK	0.4 	0.4 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VHI,PC_ENT,UK	0.5 	0.3 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VLO,PC_ENT,ES	83.7 	78.8 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VLO,PC_ENT,PT	72.4 	63.9 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VLO,PC_ENT,SE	: 	85.4 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VLO,PC_ENT,SK	53.6 	59.1 b	: 	: 	: 	: 	: 	: 	: 
A,1-9,C10-S951_X_K,E_DI_VLO,PC_ENT,UK	64.8 	59.9 b	: 	: 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,AT	: 	: 	: 	7.2 	: 	12.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,BA	: 	: 	: 	: 	: 	5.4 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,BE	: 	: 	: 	15.3 	: 	24.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,BG	: 	: 	: 	3.8 	: 	4.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,CY	: 	: 	: 	5.3 	: 	10.4 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,CZ	: 	: 	: 	7.1 	: 	12.7 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,DE	: 	: 	: 	6.1 	: 	11.7 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,DK	: 	: 	: 	30.2 	: 	39.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,EA	: 	: 	: 	8.7 	: 	14.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,EE	: 	: 	: 	10.2 	: 	23.7 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,EL	: 	: 	: 	3.7 	: 	: u	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,ES	: 	: 	: 	11.6 	: 	14.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,EU15	: 	: 	: 	9.3 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,EU27_2007	: 	: 	: 	8.8 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,EU27_2020	: 	: 	: 	8.8 	: 	13.8 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,EU28	: 	: 	: 	8.8 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,FI	: 	: 	: 	34.7 	: 	40.4 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,FR	: 	: 	: 	7.8 	: 	11.5 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,HR	: 	: 	: 	7.2 	: 	19.1 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,HU	: 	: 	: 	10.4 	: 	9.6 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,IE	: 	: 	: 	13.6 	: 	25.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,IT	: 	: 	: 	6.4 	: 	16.6 b	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,LT	: 	: 	: 	12.9 	: 	7.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,LU	: 	: 	: 	9.3 	: 	13.7 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,LV	: 	: 	: 	3.9 	: 	6.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,ME	: 	: 	: 	7.2 	: 	11.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,MK	: 	: 	: 	: 	: 	: c	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,MT	: 	: 	: 	13.7 	: 	24.9 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,NL	: 	: 	: 	20.3 	: 	24.9 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,NO	: 	: 	: 	20.8 	: 	36.1 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,PL	: 	: 	: 	4.8 	: 	10.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,PT	: 	: 	: 	8.3 	: 	10.8 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,RO	: 	: 	: 	6.1 	: 	4.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,RS	: 	: 	: 	: 	: 	10.9 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,SE	: 	: 	: 	22.0 	: 	24.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,SI	: 	: 	: 	16.8 	: 	21.1 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,SK	: 	: 	: 	5.7 	: 	9.4 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_HI,PC_ENT,UK	: 	: 	: 	8.4 	: 	17.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,AT	: 	: 	: 	37.2 	: 	50.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,BA	: 	: 	: 	: 	: 	35.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,BE	: 	: 	: 	42.9 	: 	48.8 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,BG	: 	: 	: 	23.1 	: 	28.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,CY	: 	: 	: 	34.2 	: 	38.5 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,CZ	: 	: 	: 	36.4 	: 	46.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,DE	: 	: 	: 	44.2 	: 	50.1 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,DK	: 	: 	: 	48.3 	: 	44.6 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,EA	: 	: 	: 	38.8 	: 	47.3 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,EE	: 	: 	: 	39.7 	: 	48.8 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,EL	: 	: 	: 	25.5 	: 	: u	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,ES	: 	: 	: 	38.6 	: 	47.6 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,EU15	: 	: 	: 	39.5 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,EU27_2007	: 	: 	: 	38.1 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,EU27_2020	: 	: 	: 	37.7 	: 	45.7 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,EU28	: 	: 	: 	38.1 	: 	: 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,FI	: 	: 	: 	48.1 	: 	42.9 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,FR	: 	: 	: 	35.3 	: 	42.7 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,HR	: 	: 	: 	35.4 	: 	42.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,HU	: 	: 	: 	31.7 	: 	35.9 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,IE	: 	: 	: 	42.9 	: 	42.9 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,IT	: 	: 	: 	31.3 	: 	51.2 b	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,LT	: 	: 	: 	42.4 	: 	46.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,LU	: 	: 	: 	41.6 	: 	50.6 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,LV	: 	: 	: 	27.8 	: 	35.8 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,ME	: 	: 	: 	36.1 	: 	49.0 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,MK	: 	: 	: 	: 	: 	27.6 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,MT	: 	: 	: 	47.1 	: 	43.2 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,NL	: 	: 	: 	49.7 	: 	48.5 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,NO	: 	: 	: 	41.7 	: 	43.9 	: 	: 	: 
A,10-249,C10-S951_X_K,E_DI2_LO,PC_ENT,PL	: 	: 	: 	31.2 	: 	41.2 	: 	: 	: 
