freq,unit,age,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,Y35-74,IT	56.7 be	57.6 be	59.6 e	62.4 e	64.0 e	64.8 e	65.8 e	66.7 be	70.0 e	72.7 e	73.5 e	74.3 e	75.6 e	76.1 e	76.3 e	74.7 e	73.0 e	72.8 be	71.8 e
A,PC,Y35-74,LT	52.0 u	54.5 bu	56.0 u	57.1 u	54.9 u	53.1 	46.9 	49.6 be	56.6 e	54.7 e	46.1 e	44.7 e	49.6 	46.1 	45.4 	47.9 e	51.4 	43.9 b	46.0 
A,PC,Y35-74,LU	56.9 e	58.6 be	61.8 e	66.5 be	67.7 e	58.7 b	70.6 	72.4 b	72.1 	77.5 	70.3 	67.8 b	70.4 e	63.3 	59.6 e	61.6 e	60.8 e	61.4 b	62.4 
A,PC,Y35-74,LV	56.9 e	57.0 be	56.0 e	50.4 e	51.0 e	48.6 e	47.5 e	40.9 be	44.4 e	44.0 e	46.3 e	49.8 e	50.0 e	48.7 e	51.1 e	51.5 e	45.6 e	49.6 b	47.0 
A,PC,Y35-74,ME	: 	: 	: 	: 	: 	: 	: 	56.4 be	47.0 u	60.7 e	56.7 e	65.5 e	57.5 e	55.4 e	56.4 e	43.5 e	61.3 e	: 	: 
A,PC,Y35-74,MK	: 	: 	: 	: 	: 	: 	: 	50.3 be	42.8 e	43.6 e	48.1 e	50.0 e	43.8 e	48.3 e	40.0 e	41.3 e	45.2 e	: 	: 
A,PC,Y35-74,MT	37.8 bu	39.4 be	35.6 e	37.4 e	38.2 e	39.4 e	37.3 	28.0 be	35.0 e	40.0 e	45.2 	44.1 	37.6 e	39.6 	43.4 	47.2 	43.8 e	40.6 be	46.7 
A,PC,Y35-74,NL	60.1 	60.8 b	61.7 b	62.2 	61.3 	63.9 	65.2 	65.9 be	65.9 	65.6 b	66.1 	67.3 	66.3 	65.7 	65.2 	65.4 	63.7 	62.9 b	62.7 
A,PC,Y35-74,NO	: 	: 	: 	: 	: 	: 	: 	69.4 b	70.3 	68.4 	68.8 e	68.4 e	68.3 e	67.9 e	65.9 e	64.0 e	63.9 e	66.4 be	61.2 
A,PC,Y35-74,PL	53.4 be	49.1 be	45.9 e	45.1 e	46.3 e	44.7 e	49.0 be	44.4 b	46.6 	48.1 	49.0 	50.9 e	46.5 e	49.0 	53.9 	54.5 	57.1 e	58.2 be	59.7 
A,PC,Y35-74,PT	45.0 e	44.7 be	46.4 e	46.7 e	45.1 e	45.6 e	48.7 e	53.9 be	55.7 e	58.4 e	58.7 e	60.9 e	63.1 e	62.3 e	58.7 e	59.1 e	62.2 e	63.1 b	59.0 
A,PC,Y35-74,RO	: 	57.3 be	59.2 e	55.0 e	54.7 e	54.6 e	58.0 be	49.6 be	51.4 e	48.5 e	48.2 e	48.4 	51.5 	52.7 	52.3 	52.3 e	53.3 	52.6 b	51.1 e
